timestamp,open,high,low,close,volume
2024-04-16,586.9,607,586.85,601.6,2108558
2024-04-15,589,611.8,568.25,591.15,4499953
2024-04-12,615,615,590.8,595.2,2999709
2024-04-10,621.4,621.9,610,617.85,1518665
2024-04-09,617,632,611.4,616.35,2138399
2024-04-08,632,632.6,606,611.05,2256563
2024-04-05,630,636.5,618.15,626.7,3914920
2024-04-04,630.15,646.9,627.65,642,7717357
2024-04-03,590,617.85,588.45,617.85,9025796
2024-04-02,575,588.45,574,588.45,7010323
2024-04-01,547.7,560.45,544.6,560.45,2506563
2024-03-28,520,538.85,518.55,533.8,3350259
2024-03-27,529,548.1,506.3,516.55,9346876
2024-03-26,520.3,535.7,519,522,1595013
2024-03-22,528.8,538.8,524.25,531.05,1331269
2024-03-21,517.8,528.2,517,524.25,829388
2024-03-20,523.8,523.8,501.55,514.85,2022566
2024-03-19,528.95,533.9,515.4,518.2,1032341
2024-03-18,511,532,510,529.4,3486054
2024-03-15,536.1,540,520,530.4,2295233
2024-03-14,501.9,544.95,501.9,537.85,2496183
2024-03-13,557.65,559.1,528.3,528.3,1791061
2024-03-12,564,566,542,556.1,1214938
2024-03-11,570,572.5,560,566.95,1158653
2024-03-07,576.6,577.65,565,566.85,1323851
2024-03-06,575,580,560,576.7,1708709
2024-03-05,558.8,580,555.3,573.85,2123437
2024-03-04,555.8,563.2,553,559.9,1297071
2024-03-02,557.5,557.8,553,555.8,141292
2024-03-01,552.4,559,550.2,554.15,988764
2024-02-29,553.35,564,539,549.95,1648782
2024-02-28,564.15,566.5,547.7,549.6,975616
2024-02-27,574.8,574.8,561.05,566.7,919411
2024-02-26,559.45,575,556,570.45,2002057
2024-02-23,562,566,555.1,559.05,801799
2024-02-22,546.5,567,517.3,562.25,1193558
2024-02-21,555,560,535,540.75,1263043
2024-02-20,570,570.85,551.95,553.65,1193009
2024-02-19,572,576.4,563.75,567.65,974361
2024-02-16,562,566.9,555,563.75,1015079
2024-02-15,568,569,558.8,561.85,658997
2024-02-14,552,570,537,563.9,1268142
2024-02-13,565,568,533.75,562.1,1671207
2024-02-12,575,584.95,556,561.85,1542575
2024-02-09,569,577.45,554,569.5,1327795
2024-02-08,572,578.8,561,563.7,2214893
2024-02-07,552,574.8,548,569.7,2785795
2024-02-06,554.9,554.9,545,549.7,1145839
2024-02-05,564.7,565,545,546.3,1576938
2024-02-02,567,568,555.5,559.4,2001145
2024-02-01,568,569,556.8,564.35,1377239
2024-01-31,558.5,570.3,558,562.7,1915616
2024-01-30,575,579.8,547,558.3,2962115
2024-01-29,570,570.45,552.5,570.45,5730005
2024-01-25,522.4,545,521,543.3,2175726
2024-01-24,522.8,526.05,512,519.95,42152346
2024-01-23,543.95,555,515,517.55,1439117
2024-01-20,536.75,540,530,536.55,858276
2024-01-19,529,549,514.4,516.75,6070841
2024-01-18,521.45,530.25,509,523.55,1384253
2024-01-17,529.45,529.9,506.1,521.45,1806770
2024-01-16,540,540,529,532.3,1055123
2024-01-15,546.8,547,540,541.15,1077632
2024-01-12,546,546.8,540,541.15,711519
2024-01-11,547.7,547.7,539.1,540.15,781046
2024-01-10,544.5,549.6,535,542.3,1024874
2024-01-09,545,553.5,535,539.75,1213712
2024-01-08,553.95,553.95,540,541.7,975444
2024-01-05,564.7,565,546.1,551.1,1411436
2024-01-04,548,561.45,537.3,558.55,3611727
2024-01-03,538,544.5,525,544.5,4044997
2024-01-02,525,525,515,518.6,1011777
2024-01-01,525.15,533.95,519.1,523.25,1123066
2023-12-29,520.5,527,518,525.15,1270593
2023-12-28,527,527,513,523.4,1388906
2023-12-27,517.4,533,512,522.45,1707299
2023-12-26,515.5,519.8,510.1,511.7,831910
2023-12-22,518,518,505,512.55,942799
2023-12-21,490,518.7,485,511.65,2299409
2023-12-20,535.45,540,508.7,508.8,2849065
2023-12-19,547.5,547.5,528.1,535.45,1607643
2023-12-18,543.15,545.4,532.05,539.35,2048735
2023-12-15,537,546.5,519.6,538.85,10493441
2023-12-14,508.9,530.95,505.7,528.95,3588818
2023-12-13,519.45,520,498,505.7,9267133
2023-12-12,527.65,529,512.1,516.95,5130118
2023-12-11,535,539.7,515.1,526.15,9890200
2023-12-08,566,570,517.5,533.8,16500676
2023-12-07,567.95,574.7,552.35,562.4,16013868
2023-12-06,545,589.45,539,560.45,46431996
2023-12-05,463,545.8,456,538.15,59296372
2023-12-04,494,494,458.5,464.7,15084875
2023-12-01,437,454.8,435.35,440.4,13761200
2023-11-30,433,436.6,417.1,431.5,11540019
2023-11-29,456.7,470.8,426.8,433.1,44215572
2023-11-28,407,464.4,407,446.2,67482614
2023-11-24,382.7,400.8,380.3,397.2,9134805
2023-11-23,388.3,390.5,380.05,381.7,2759240
2023-11-22,392.5,395.5,385.15,387.2,10626256
2023-11-21,390.45,396.65,390.2,392.5,14188472
2023-11-20,387.3,393.4,384,389.95,13657211
2023-11-17,389.5,391.95,385.8,387.3,12790695
2023-11-16,390.2,395.2,386.3,389.55,13220902
2023-11-15,397.95,398,388.05,391,12279448
2023-11-13,397.95,399.8,388.1,390.6,11454280
2023-11-12,403.6,404.25,398,399.85,1792783
2023-11-10,399.95,406.8,395.3,399.4,16574959
2023-11-09,395.1,409.65,390.55,401.1,28389177
2023-11-08,384,395,381.2,393.4,20042521
2023-11-07,393.9,402.6,380,383.8,18526329
2023-11-06,388.95,397.6,381.55,394,17431088
2023-11-03,376.8,393,376.25,384.65,12233091
2023-11-02,368,393.4,365.55,372.95,21100773
2023-11-01,364.5,372.7,357.6,365.2,5572625
2023-10-31,361,367.9,359.35,363.05,7080271
2023-10-30,354.4,359.7,345.05,357.95,9014732
2023-10-27,332,364.85,331.55,354.15,14877588
2023-10-26,310,336.3,289.35,327.35,12759045
2023-10-25,326.95,329.8,310.25,312.7,5402798
2023-10-23,340.6,342.1,314.15,316.45,6075498
2023-10-20,343,346.3,335,338.3,3464389
2023-10-19,333.9,346.7,331,344.45,5032636
2023-10-18,337,339.7,332,333.95,2269766
2023-10-17,331.95,344.4,331.9,335.5,4646955
2023-10-16,341.1,343.65,327,329.65,5569553
2023-10-13,345,345,341.25,341.9,2285167
2023-10-12,352,353.85,346.1,347.25,2062648
2023-10-11,353,358.7,348.15,349.8,3488974
2023-10-10,343.4,352.8,343.3,349.65,3720710
2023-10-09,352.3,355,339,342,7353001
2023-10-06,366.4,371,363,364.3,2349309
2023-10-05,373.4,376,364.1,365.85,2382554
2023-10-04,367.3,377.5,363.2,372.05,7760046
2023-10-03,376.9,376.9,363.2,366.7,3312991
2023-09-29,375.4,379,373.1,377.45,17989437
2023-09-28,376.8,379.85,372.45,375.4,19409168
2023-09-27,379,379,373.25,375.35,16473986
2023-09-26,380.05,382.8,375.1,377.5,17002538
2023-09-25,383.9,385.55,378.2,381.15,17125016
