timestamp,open,high,low,close,volume
2024-02-16,483.6500,494.3500,481.0000,491.1000,373576
2024-02-15,487.6000,490.4500,484.5500,487.4000,241609
2024-02-14,478.8500,482.6500,470.0000,481.4000,193290
2024-02-13,463.7500,480.0000,452.4000,479.1000,174180
2024-02-12,462.5000,465.6500,455.2000,458.2000,152522
2024-02-09,467.3000,468.0500,453.2500,457.3000,341685
2024-02-08,480.9500,481.9000,463.9000,464.8500,341326
2024-02-07,482.5000,484.9500,477.1500,478.0000,236497
2024-02-06,474.8000,486.0000,468.8500,481.9500,534907
2024-02-05,507.0000,524.7500,469.6500,474.2000,651600
2024-02-02,535.8500,540.6500,529.2000,533.5000,167640
2024-02-01,536.0000,539.0500,526.6000,529.9000,227254
2024-01-31,536.1500,542.8000,534.2000,537.8500,126944
2024-01-30,540.1500,547.4500,534.5500,535.2500,138341
2024-01-29,544.8500,544.8500,534.4500,539.8500,131126
2024-01-25,546.0000,548.0000,536.1000,537.5000,41155
2024-01-24,541.6500,547.0000,534.6500,545.5500,102128
2024-01-23,554.1500,557.8500,533.5500,535.2500,231768
2024-01-22,553.3500,553.3500,553.3500,553.3500,0
2024-01-20,555.1000,557.1000,551.4500,552.2500,16968
2024-01-19,549.0000,556.8500,544.0000,553.3500,128998
2024-01-18,550.9000,552.6500,539.2000,544.3000,235668
2024-01-17,561.6500,562.4500,550.0000,551.1000,203931
2024-01-16,567.1500,569.0000,560.5000,564.5500,24712
2024-01-15,568.7500,571.3000,565.0000,567.7000,37281
2024-01-12,567.7500,568.1000,562.6500,565.0000,39127
2024-01-11,558.8500,566.0000,558.8500,562.2000,108660
2024-01-10,562.8500,562.8500,552.0000,558.7000,45751
2024-01-09,566.0000,567.7000,553.6500,558.1000,233255
2024-01-08,582.8500,582.8500,560.2000,561.0000,339580
2024-01-05,585.1000,591.0000,576.5000,581.2500,65404
2024-01-04,587.6500,589.2000,583.0000,587.2500,49616
2024-01-03,597.8500,597.8500,585.4000,586.8000,51708
2024-01-02,593.8500,603.8500,589.1000,594.3500,63818
2024-01-01,587.8000,599.8000,587.5000,592.1000,184514
2023-12-29,590.1500,594.8500,585.2000,587.5000,50029
2023-12-28,585.8000,591.0000,582.0000,589.3000,46444
2023-12-27,591.1500,592.2000,581.3000,583.1500,43665
2023-12-26,588.0000,594.9000,585.0000,586.0000,145564
2023-12-22,581.6500,585.9000,577.6000,581.7000,83721
2023-12-21,572.0000,579.9000,566.1000,577.9000,175891
2023-12-20,606.8000,606.8000,569.0500,572.2500,94864
2023-12-19,607.9500,612.2000,597.5500,598.4500,173715
2023-12-18,613.0000,614.4500,605.1000,606.6500,125882
2023-12-15,600.9000,613.1500,600.9000,610.9500,64518
2023-12-14,603.0000,603.6500,596.3500,599.0000,29399
2023-12-13,598.2000,602.6000,592.5000,599.3000,99650
2023-12-12,606.0000,606.6000,595.9000,597.7000,143079
2023-12-11,584.0500,603.4500,584.0500,602.5500,63758
2023-12-08,590.6500,595.7000,580.2500,585.0000,138843
2023-12-07,593.9500,593.9500,585.6000,586.8000,27925
2023-12-06,583.4000,596.2500,583.0000,588.5000,184096
2023-12-05,579.9000,583.9000,577.0000,581.4500,34620
2023-12-04,579.9500,585.0000,577.0000,578.7000,134043
2023-12-01,571.0500,576.0000,569.2000,574.9500,300105
2023-11-30,574.9000,574.9000,566.5500,570.9500,43711
2023-11-29,564.0500,572.0000,563.3000,570.0000,146673
2023-11-28,558.0500,564.5500,556.2500,563.3000,73105
2023-11-24,569.7500,569.7500,558.0500,558.9500,61480
2023-11-23,570.9500,571.7500,565.2000,566.0000,79604
2023-11-22,564.9000,569.5500,563.6500,565.9000,27534
2023-11-21,556.7000,564.0000,556.7000,562.7000,24052
2023-11-20,564.9500,564.9500,555.0500,556.4000,53825
2023-11-17,562.9500,565.6500,558.8500,561.7000,19606
2023-11-16,562.0000,563.4500,556.1000,560.4000,83486
2023-11-15,556.0000,564.5000,556.0000,561.8500,27989
2023-11-13,555.0000,556.5000,550.1000,552.6000,45348
2023-11-10,551.9500,551.9500,545.0000,547.3500,52036
2023-11-09,559.4000,559.4000,548.7500,550.5500,32340
2023-11-08,553.0500,557.8000,553.0500,555.6000,65723
2023-11-07,554.0000,555.9500,550.6500,552.0500,51393
2023-11-06,554.9000,555.3000,548.5000,554.7000,81289
2023-11-03,545.2500,551.8500,543.4500,550.8000,59947
2023-11-02,536.1500,542.4500,535.2500,540.5000,31116
2023-11-01,530.6000,540.6000,529.5000,532.0000,79460
2023-10-31,536.8500,543.8500,528.3500,540.4000,136188
2023-10-30,561.4000,562.5500,532.1000,538.4000,367527
2023-10-27,565.0000,567.0000,556.4000,558.7500,163503
2023-10-26,579.1500,580.1000,560.0000,561.2000,76778
2023-10-25,585.0500,592.8000,578.0000,580.1000,126606
2023-10-23,602.6500,608.0500,585.7500,587.2500,49847
2023-10-20,614.9500,614.9500,602.0000,603.2500,86663
2023-10-19,612.7000,617.3000,607.9000,613.7500,586460
2023-10-18,625.0000,628.0000,618.3000,620.3000,69799
2023-10-17,633.6500,635.0000,624.0000,624.9000,199482
2023-10-16,623.0000,632.9000,621.5500,630.7000,374619
2023-10-13,619.9500,625.0000,616.5000,623.2500,800639
2023-10-12,627.5500,630.4000,620.0000,620.7000,20296
2023-10-11,623.0500,629.5000,623.0500,627.5500,119183
2023-10-10,607.1000,625.4000,607.1000,621.9500,47531
2023-10-09,608.6500,610.8500,599.0500,608.7000,807467
2023-10-06,602.1000,612.9500,602.1000,612.1000,25623
2023-10-05,607.8500,608.9000,601.8000,604.2500,58787
2023-10-04,605.0000,606.7000,597.9000,603.1000,106254
2023-10-03,616.2500,616.2500,606.2500,607.0500,80929
2023-09-29,614.9500,621.5000,609.4000,616.2500,120977
2023-09-28,616.8500,618.7500,602.7000,605.0000,43234
2023-09-27,618.0000,618.1000,609.2000,614.8500,37989
2023-09-26,619.9000,622.7000,616.0500,617.5000,25932
2023-09-25,615.0000,624.7500,613.7000,616.7000,91178
2023-09-22,627.1000,629.3500,612.5500,615.0000,45160
2023-09-21,623.4500,635.0000,622.2000,625.0000,70189
2023-09-20,627.9500,628.2000,620.9000,622.0500,39037
2023-09-18,630.0500,639.0000,625.7500,629.3500,142344
2023-09-15,635.0000,635.3500,627.5000,634.6500,87447
2023-09-14,610.3000,633.3000,609.8500,631.7000,642315
2023-09-13,604.2500,610.9500,603.8500,608.3000,43784
2023-09-12,622.0000,622.0500,602.5500,604.2000,255640
2023-09-11,608.0500,619.3000,608.0500,617.9500,108327
2023-09-08,614.9500,614.9500,605.7000,606.6500,57150
2023-09-07,609.0000,615.8500,606.0000,612.0500,155776
2023-09-06,608.2000,610.7000,603.9000,609.5500,52530
2023-09-05,608.1000,612.0500,603.8000,607.9000,146068
2023-09-04,605.0000,608.8000,599.1000,607.5000,189671
2023-09-01,591.0500,604.8500,591.0500,603.0500,224281
2023-08-31,601.0000,602.1000,590.5500,591.6000,51131
2023-08-30,601.9500,607.4500,598.6000,599.7500,200205
2023-08-29,589.5000,600.8000,589.5000,598.1500,127126
2023-08-28,584.1000,587.6500,582.3000,585.0500,25638
2023-08-25,582.4500,588.9000,580.0000,583.1000,80545
2023-08-24,588.9500,594.0000,585.2500,586.4000,57207
2023-08-23,582.3000,588.0000,582.3000,585.6000,34745
2023-08-22,586.6000,589.5000,583.0000,583.7500,36763
2023-08-21,582.0000,590.3000,579.6500,585.5500,125338
2023-08-18,586.7500,587.5500,577.0000,578.5500,55422
2023-08-17,588.0500,591.3500,583.3500,584.9000,122842
2023-08-16,589.1000,592.9500,583.0500,589.8500,115676
2023-08-14,599.7000,599.8000,586.1500,590.3500,211358
2023-08-11,614.7500,614.7500,598.1500,599.7500,144389
2023-08-10,618.9500,618.9500,606.2000,609.7000,139752
2023-08-09,604.9500,616.9500,603.0000,615.4000,149295
2023-08-08,609.0000,609.0000,602.0000,604.4000,94458
2023-08-07,606.8500,609.5000,604.0500,606.8500,116683
2023-08-04,601.3000,607.2500,600.4000,603.5000,118062
2023-08-03,610.1500,613.1500,590.1000,600.6000,167195
2023-08-02,629.8500,629.8500,614.1500,619.1000,180655
2023-08-01,622.8500,628.0000,610.9500,625.8500,134061
2023-07-31,629.8500,631.0000,621.0000,624.3500,122677
2023-07-28,627.0500,630.2000,622.5000,625.0500,75990
2023-07-27,636.7500,637.0000,625.6000,626.6500,51066
2023-07-26,626.9500,635.8000,626.9500,631.8500,99878
2023-07-25,632.3500,634.0000,624.0000,626.8000,134580
2023-07-24,635.0500,636.2000,631.0000,632.5000,29127
2023-07-21,637.4000,640.0500,633.8000,634.5500,108698
2023-07-20,641.0000,642.4000,637.0000,639.0500,61030
2023-07-19,640.1000,645.5500,638.2000,638.9500,83830
2023-07-18,646.0000,646.5500,638.4000,639.8000,211913
2023-07-17,642.0000,647.0000,637.4000,643.8000,132920
2023-07-14,634.9500,640.0000,631.4000,639.5500,91436
2023-07-13,643.9000,646.4500,630.1000,631.1500,194298
2023-07-12,646.7500,650.9500,643.0000,643.9000,80773
2023-07-11,659.9000,659.9000,639.6000,644.4000,193682
2023-07-10,664.1500,666.0000,659.3000,660.2000,78832
2023-07-07,671.2500,675.8500,662.0000,663.0500,125960
2023-07-06,672.0500,674.1500,669.4000,672.9500,67281
2023-07-05,677.1000,678.7500,669.0000,669.8000,90032
2023-07-04,684.6000,688.4000,676.0500,677.0500,78600
2023-07-03,688.2500,688.3000,677.9000,680.5000,35679
2023-06-30,682.0000,688.0000,681.8000,687.2500,105072
2023-06-28,674.1000,682.6500,674.0000,680.5000,33134
2023-06-27,679.0000,680.0000,672.2000,674.0500,21703
2023-06-26,669.1500,680.7500,667.9500,679.0500,104425
2023-06-23,675.0000,675.0000,665.8000,667.0500,25367
2023-06-22,686.0500,686.0500,671.1500,674.2500,25486
2023-06-21,684.9500,686.6500,682.0000,686.0500,11331
2023-06-20,686.0000,686.0000,678.7000,683.2500,32132
2023-06-19,691.0500,695.8500,681.4500,685.7500,18254
2023-06-16,678.0500,695.7500,678.0500,690.1000,53493
2023-06-15,681.3500,687.8500,676.7000,680.7500,234161
2023-06-14,682.2500,689.0000,678.5500,683.0000,159798
2023-06-13,677.0000,683.9500,677.0000,682.2500,43253
2023-06-12,681.0500,682.2000,674.5500,679.1000,30436
2023-06-09,686.1500,692.0000,677.3000,679.6000,48452
2023-06-08,690.1500,698.8500,689.1000,690.0500,16600
2023-06-07,693.7000,697.5000,693.0500,693.7500,11164
2023-06-06,692.0000,696.9500,690.4500,693.7000,82299
2023-06-05,686.0000,691.7500,685.2000,690.1000,71091
2023-06-02,678.0500,684.4000,678.0500,683.1500,47456
2023-06-01,686.0000,686.0000,676.6000,678.1000,62498
2023-05-31,689.0000,691.3500,681.9000,686.3000,17816
2023-05-30,689.9000,693.5000,684.4500,688.8500,18664
2023-05-29,685.3500,691.3500,685.3500,689.9000,81971
2023-05-26,676.0000,688.9000,676.0000,688.2000,29331
2023-05-25,682.1000,685.4500,674.3000,675.7000,15557
2023-05-24,679.9000,684.6000,675.9500,682.2000,22208
2023-05-23,672.9500,681.7000,671.6500,679.1500,79757
2023-05-22,671.1000,672.3500,662.0000,670.9500,28169
2023-05-19,673.4000,676.3500,657.6000,667.5000,107182
2023-05-18,681.9500,681.9500,672.3000,673.4000,15241
2023-05-17,672.9000,683.2500,672.5000,677.7500,111542
2023-05-16,676.2500,676.7500,671.0500,672.9000,55815
2023-05-15,678.0000,680.4500,675.0000,675.9500,104521
2023-05-12,684.0000,684.7500,672.9000,678.1500,59368
2023-05-11,682.4000,687.2500,680.4500,684.0000,36547
2023-05-10,694.0500,698.2500,677.1500,679.6500,151262
2023-05-09,714.6500,714.6500,693.0000,694.6000,113115
2023-05-08,715.0500,724.7500,701.0000,714.7500,124595
2023-05-05,735.0000,735.9000,709.5500,714.7000,57322
2023-05-04,748.9500,748.9500,728.0000,732.9500,39132
2023-05-03,755.0000,755.4500,738.3500,739.7000,26765
2023-05-02,740.2500,760.4500,740.2500,752.2500,31606
2023-04-28,734.9500,741.8000,727.7500,739.9000,25175
2023-04-27,715.4000,730.6500,715.4000,727.1000,33670
2023-04-26,712.0500,716.6000,707.5500,715.2500,69684
2023-04-25,720.0000,720.4000,709.4000,714.5000,55155
2023-04-24,726.1500,739.9500,723.4000,729.9000,16358
2023-04-21,733.9500,743.8500,731.6000,734.6500,64246
2023-04-20,736.2500,738.3500,730.8500,731.8500,19599
2023-04-19,736.7000,741.2500,731.6000,735.3500,17497
2023-04-18,734.5500,743.0000,734.5500,739.0000,20618
2023-04-17,737.3000,744.3000,732.0500,737.0500,21909
2023-04-13,741.9500,744.0000,734.1500,737.0500,9234
2023-04-12,748.0000,748.0000,736.2000,739.6000,16365
2023-04-11,740.0500,743.8000,737.4000,742.3500,42238
2023-04-10,726.0500,738.9000,726.0500,737.9000,13519
2023-04-06,730.9000,733.0000,723.1000,725.6500,24592
2023-04-05,729.0000,736.4000,725.8000,732.5500,38827
2023-04-03,717.4500,730.8500,717.4500,729.8500,30234
2023-03-31,707.2000,722.0000,705.5000,717.4500,16264
2023-03-29,716.8000,717.6500,698.4500,707.2500,32860
2023-03-28,711.9000,715.7500,703.3500,714.5000,28514
2023-03-27,697.2000,705.0000,693.3000,700.2500,34630
2023-03-24,709.0500,710.7000,694.1500,697.2000,9811
2023-03-23,715.9500,717.2000,708.3500,709.5000,12630
2023-03-22,709.0000,717.0000,709.0000,716.0500,10073
2023-03-21,705.1500,714.9500,704.9000,707.7500,37835
2023-03-20,709.6000,714.3500,700.5000,708.0000,16676
2023-03-17,693.1000,717.2000,693.1000,715.6500,19784
2023-03-16,702.1000,705.0000,692.4000,696.1500,10379
2023-03-15,708.9500,715.0000,700.1000,702.1000,30463
2023-03-14,703.3500,708.0000,687.9500,698.1500,62208
2023-03-13,709.0000,718.5000,702.5500,705.0000,28214
2023-03-10,710.0000,714.6500,705.1500,711.8500,24822
2023-03-09,717.2000,722.9000,711.0000,712.0000,14431
2023-03-08,705.0000,717.7500,703.7000,716.5000,27955
2023-03-06,711.6500,718.4000,709.2000,711.2000,26702
2023-03-03,715.7500,715.7500,705.0000,710.5500,42257
2023-03-02,713.2000,715.1500,705.0000,706.6000,20318
2023-03-01,696.0500,714.4500,695.0000,713.2000,80169
2023-02-28,709.0000,710.7000,693.0500,694.2000,39511
2023-02-27,732.7000,736.6000,704.6500,708.3500,66566
2023-02-24,747.0500,754.8500,736.4500,738.4000,15759
2023-02-23,747.9000,756.5000,740.8000,745.0000,109239
2023-02-22,742.0500,748.6000,736.8000,739.0000,52985
2023-02-21,752.1500,763.6500,744.2000,746.5000,11380
2023-02-20,764.4500,769.6500,755.1000,757.4500,30106
2023-02-17,765.5500,780.0000,764.2500,770.2500,24501
2023-02-16,768.7500,773.6500,767.4000,769.8000,24151
2023-02-15,758.0000,770.5500,758.0000,769.3000,36055
2023-02-14,731.0500,766.4500,731.0500,761.4000,152608
2023-02-13,728.0000,736.0000,725.2000,733.6500,258546
2023-02-10,722.9500,728.9000,716.9000,726.7500,16411
2023-02-09,721.9500,722.1500,714.3500,716.9000,30485
2023-02-08,706.5500,723.5500,706.5500,722.3500,52461
2023-02-07,719.9500,719.9500,701.3000,709.4000,22739
2023-02-06,715.0000,716.6000,702.0000,714.5000,22805
2023-02-03,707.7500,717.7000,698.0000,716.0500,45089
2023-02-02,735.2500,739.3000,685.0000,696.0000,107625
2023-02-01,766.0000,771.0000,729.7500,740.2000,83137
2023-01-31,744.7500,767.0500,744.7500,757.2500,59165
2023-01-30,745.1000,750.2500,738.0000,745.0500,16012
2023-01-27,737.2500,756.2000,735.4000,744.5000,77077
2023-01-25,738.8500,746.2500,736.1000,738.3500,25062
2023-01-24,750.0000,753.4500,743.0000,745.4000,10422
2023-01-23,740.0000,753.1500,739.9500,748.7500,100519
2023-01-20,749.2000,749.2000,735.0500,738.3000,25281
2023-01-19,732.0000,748.8000,729.7500,747.1500,33944
2023-01-18,721.0000,733.8000,720.6000,732.0000,54718
2023-01-17,712.1000,722.8000,712.1000,719.2500,9788
2023-01-16,718.5000,722.9500,711.0000,713.5500,10882
2023-01-13,723.0000,723.3500,714.4500,718.4500,111220
2023-01-12,718.0500,722.7000,714.5000,719.0500,41537
2023-01-11,727.7500,727.7500,715.6000,718.0000,63390
2023-01-10,739.8000,739.8000,720.0000,724.3500,13832
2023-01-09,722.6000,735.9000,722.6000,734.0500,40056
2023-01-06,721.4000,729.3500,715.6000,718.6500,33771
2023-01-05,720.0000,724.6000,713.5000,720.1500,63695
2023-01-04,719.7000,721.7000,712.4500,715.6000,27257
2023-01-03,722.0000,727.2000,717.4000,719.6500,15961
2023-01-02,721.9500,723.6000,711.8000,721.8000,32085
